Gene	Vector-1	Vector-2	Vector-3	CEP120-1	CEP120-2	CEP120-3
NTF3	0	0	0	0	0	0
NTF4	0	0	0	0	0	0
UGDH	3800	3532	3763	3891	3279	4894
NCAPH2	2544	2333	2290	2720	2671	2823
SLCO1A2	0	0	0	0	0	0
TSEN54	882	964	846	905	892	1083
MFSD11	1287	1104	1141	1179	1119	1406
CYP24A1	17	11	15	15	17	19
GTF3C2	2248	2108	2157	2494	2550	2595
LINC-ROR	0	0	0	0	2	0
ZNF33B	1495	1538	1495	1648	1786	1762
ZNF33A	1532	1712	1700	1827	2114	1898
PATL1	4589	4080	4417	5056	5394	5071
SNRNP48	2340	2443	2245	2799	2693	2725
MAD2L2	2374	2448	1992	2554	2460	2890
MAD2L1	1664	1856	1662	1910	2057	2052
BMPER	3	5	0	9	6	6
SYNJ2BP-COX16	0	0	0	0	0	0
LRP2BP	22	34	24	30	34	39
LINC01208	0	0	0	0	2	2
LINC01209	0	0	0	0	0	0
LINC01201	0	0	0	0	0	0
LINC01203	0	0	0	1	0	2
LINC01204	1	0	0	10	6	4
LINC01205	0	0	0	0	0	0
LINC01206	0	0	0	0	0	0
LINC01207	0	0	0	1	0	0
LOC100652999	0	0	0	0	0	0
GALNS	944	1039	784	1151	1166	1152
SNORA74A	3	0	1	0	0	0
SNORA74B	0	6	0	2	3	0
MIR4525	0	0	0	0	0	0
MIR4526	0	0	0	0	0	0
MIR4527	0	0	0	0	0	0
MIR4521	2	0	0	0	0	0
MIR4522	0	0	0	0	0	0
MIR4523	6323	5131	5889	7552	7683	7646
MIR4528	0	0	0	0	0	0
NPY2R	0	0	0	0	0	0
CDRT15L2	0	0	0	0	0	0
DYNLL1	3158	3871	3426	3487	3615	4365
DYNLL2	2242	2166	2034	2531	2697	2687
PRDM5	0	0	0	0	0	0
MOXD2P	0	0	0	0	0	0
KHDC1	249	199	275	288	264	406
LOC155060	11	46	19	43	66	21
MIR15A	90	102	82	81	81	97
MIR15B	0	0	0	0	0	0
GPS1	4502	4316	4216	4784	4878	5527
GPS2	87	58	51	98	65	121
OTUD6B-AS1	874	1049	873	946	1011	1091
LOC102724373	0	0	0	4	1	1
GLO1	5285	4841	4851	5676	5331	5915
LOC105373051	0	0	0	0	0	0
SNORD115-41	0	0	0	0	0	0
CARHSP1	1230	1269	1075	1337	1357	1413
MIR3671	0	0	0	0	3	0
MIR154	0	0	0	0	0	0
MIR155	0	1	2	1	5	10
NPY1R	0	0	0	0	0	0
MIR150	0	0	1	0	0	0
MIR152	0	0	0	0	0	0
TTC14	919	979	979	1099	1324	997
TTC17	3424	3411	3212	3794	4022	4204
TTC16	1	3	0	1	12	0
TTC13	419	526	448	592	570	578
TTC12	256	333	235	240	280	270
TTC19	1211	1079	946	1324	1496	1285
EPGN	991	938	974	1131	1232	1072
SLC31A1	6631	6686	5952	7235	8065	7629
SLC31A2	11	8	14	9	17	9
ZFP92	0	5	0	0	0	1
ZFP90	146	159	98	192	220	185
ZFP91	5576	5005	5424	5751	5757	6376
RICTOR	8007	5996	8077	8950	8593	9285
PRDM2	711	652	807	759	756	790
EGR2	90	58	79	68	71	76
EGR3	77	43	57	71	45	62
EGR1	4283	3107	3069	4928	4310	3547
EGR4	2	6	2	0	1	3
DALRD3	1103	1018	1017	1169	1336	1274
LOC105370906	0	0	0	0	0	0
PCDHA10	4	1	0	4	6	1
PCDHA11	12	15	29	37	45	23
PCDHA12	6	2	0	1	10	2
PCDHA13	1	0	9	2	1	1
MIR514A1	0	0	0	0	0	0
MIR514A3	0	0	0	0	0	0
MIR514A2	0	0	0	0	0	0
PROK1	0	0	1	0	0	0
PROK2	0	0	0	0	0	0
KLF3-AS1	10	14	7	18	6	11
EPG5	1490	1252	1459	1659	1676	1805
PTDSS1	7191	7466	7245	8340	8156	9055
PTDSS2	1876	2002	1644	2066	1816	2268
MLIP	3	2	4	1	1	0
SNORD1A	0	0	0	0	0	0
SNORD1B	4	4	0	3	3	1
SNORD1C	0	0	0	0	0	0
CHCHD10	2081	2552	2224	2166	2225	2843
CNTD1	0	5	16	3	12	10
CNTD2	346	462	354	312	332	425
ZEB1	1646	1476	1626	1606	1658	1912
GTF2A1L	0	0	0	0	0	0
OBSL1	3447	3305	2917	3838	3840	3889
FBXO45	987	1002	902	1133	1339	1066
FBXO44	277	282	225	277	289	336
FBXO47	7	1	1	9	2	4
FBXO46	999	994	770	1041	1077	1031
FBXO41	362	391	298	404	542	446
FBXO40	0	4	0	0	0	0
FBXO43	280	233	257	306	289	266
FBXO42	1871	1931	1853	2092	2342	2435
DCDC2B	1	13	0	3	1	1
DCDC2C	0	0	0	0	0	4
FBXO48	58	40	45	74	61	66
CATIP	6	6	0	3	1	1
SFRP2	0	1	0	0	0	0
SNORD16	0	0	0	0	0	0
SNORD17	20	43	47	38	32	50
SNORD10	0	0	0	0	0	0
SNORD11	1	6	1	4	4	0
SNORD12	0	0	0	0	0	0
SNORD13	0	0	0	1	0	0
LOC102723728	2242	2222	2223	2863	3107	2863
SNORD19	9	10	6	10	18	11
ATAD5	1008	808	860	1030	1105	1047
COL1A2	0	0	0	0	0	0
COL1A1	3533	2774	3269	3731	3687	4012
KIAA1217	1507	1035	1298	1516	1505	1546
KIAA1210	1	0	0	1	0	1
KIAA1211	426	373	311	382	488	332
CEMIP	1052	1246	1031	1244	1688	1316
LACRT	0	0	0	0	0	0
EIF1B	3151	3280	3072	3218	3045	4064
C22orf29	304	317	333	368	507	316
UNCX	0	0	0	0	0	0
MCM8-AS1	1	0	1	1	0	0
AADAT	57	66	56	56	100	66
MIR3687-2	0	0	1	3	1	2
C19orf35	5	1	13	11	21	34
AADAC	40	33	31	25	14	30
C19orf33	0	0	0	0	0	0
EPCAM	17	29	20	24	27	36
MIR3687-1	5	2	3	2	0	0
C19orf38	4	19	5	17	9	21
LOC100506603	1	0	0	7	0	0
LOC100506606	17	39	46	25	27	55
CYYR1-AS1	0	0	0	0	0	6
COL6A1	204	149	172	256	243	214
WBP2	5277	5918	5565	5930	5858	7201
COL6A3	0	7	8	6	6	5
COL6A2	6	25	9	27	48	21
COL6A5	0	0	0	0	0	0
COL6A6	2	5	1	1	0	2
KLK12	0	0	0	0	0	0
KLK13	0	0	0	0	0	0
KLK10	0	0	0	0	0	0
KLK11	0	0	1	0	0	0
KLK14	2	0	1	2	9	5
KLK15	0	0	0	0	0	0
C12orf40	5	0	0	0	0	4
LOC100133286	5	0	1	1	0	1
LOC101927845	0	0	0	0	0	0
LOC101927849	0	0	0	0	0	0
PLLP	61	73	107	97	99	104
SPATA31D5P	0	0	0	0	0	0
GCC2-AS1	22	37	51	45	35	43
TMA16	1960	1945	1838	1906	2112	2306
LOC101927592	0	0	0	0	0	0
LOC101927596	0	0	0	0	0	0
AATF	2445	2754	2481	2727	2937	3092
MIR218-2	0	0	0	0	0	0
MIR218-1	0	0	0	0	0	0
PCM1	5636	5403	5448	6190	6465	6523
LRRK1	0	1	0	1	5	0
LRRK2	0	4	0	0	1	0
TGFB1I1	757	797	667	883	968	960
PRELID3A	318	375	309	347	425	370
MRPL10	2309	2839	2398	2875	2795	3118
MRPL11	1706	1922	1870	1828	1834	2131
MRPL12	510	651	436	577	552	817
MRPL13	1694	1753	1895	1823	1954	2297
MRPL14	1650	1833	1785	1935	1815	2517
MRPL15	1493	1661	1608	1610	1458	1961
MRPL16	1118	1094	1030	1116	1299	1270
MRPL17	2263	2552	2205	2357	2727	3004
MRPL18	4246	4293	4073	4134	4324	5181
MRPL19	1868	1849	1799	2133	2202	2221
PLA1A	0	0	0	0	0	0
LOC107986266	0	0	0	0	0	0
KDSR	2221	2388	2229	2678	2597	2615
ANKRD20A2	0	0	0	0	0	0
ANKRD20A3	0	0	0	0	0	0
ANKRD20A1	0	0	0	0	0	0
ANKRD20A4	0	0	0	0	0	0
SNCG	224	174	189	229	165	237
SNCB	0	0	0	0	0	0
RNF128	0	0	0	0	0	0
RNF126	3906	3800	3533	4099	4286	4541
RNF125	262	277	248	251	329	302
RNF123	2245	2067	2136	2320	2366	2623
RNF122	53	33	48	55	65	48
RNF121	662	636	555	758	722	639
LOC100507277	0	0	0	0	0	0
LOC102724421	0	0	0	0	0	0
MIR103A1	0	0	0	0	0	0
OR11A1	0	0	0	0	0	0
MIR103A2	2	0	2	4	0	1
TMEM110-MUSTN1	0	1	1	0	3	0
LOC100996717	2	0	1	0	1	1
SACS	2569	2074	2310	3111	3380	2791
TGFBR3L	359	352	299	331	300	340
MIR455	0	0	0	0	0	0
MIR454	0	0	0	0	0	0
GPN3	1340	1597	1357	1457	1403	1764
GPN2	1502	1644	1419	1915	1806	1844
GPN1	1327	1598	1274	1368	1457	1495
MIR452	1338	905	1236	1384	1312	1676
NFKB1	2215	2014	2225	2595	2594	2674
NFKB2	4341	4379	4178	4924	4808	5356
DNPEP	1274	1313	1078	1296	1567	1341
RAB40AL	4	3	1	1	0	2
SIAH1	712	778	625	704	760	901
SIAH2	2339	2527	2601	2624	2621	3217
SIAH3	0	0	0	0	0	0
NSA2	4992	6045	4946	5211	5680	6501
FAM3D-AS1	0	0	0	0	1	0
PDZRN4	0	0	0	0	0	0
ACVR2B-AS1	6	9	12	15	14	4
PHLPP1	839	815	761	1062	1073	1070
PDZRN3	0	4	0	0	0	0
EMILIN3	0	0	0	0	7	0
EMILIN2	11	5	12	2	11	6
EMILIN1	17	61	15	17	29	31
MIR924HG	475	416	465	543	557	629
ZNF155	61	42	38	42	49	50
P2RX1	7	1	2	4	3	4
P2RX3	0	0	0	0	1	0
P2RX2	2	2	10	17	11	2
P2RX5	274	247	250	221	196	324
P2RX4	267	324	251	313	350	336
HSPBP1	1722	1977	1617	1854	1873	2200
P2RX6	8	26	30	20	40	23
FAM27E3	93	79	77	75	128	105
FAM27E5	0	0	0	0	0	0
RMDN2	155	158	157	133	148	235
RMDN3	1854	2042	1528	2017	1853	2051
RMDN1	1371	1622	1377	1556	1628	1827
DENND1C	0	4	0	0	1	0
DENND1B	142	151	118	149	186	135
DENND1A	1411	1397	1316	1587	1774	1597
DIS3	3846	3714	3913	4172	4050	4569
PTGES2-AS1	4	0	1	5	1	1
LOC101929504	7	0	1	4	5	0
BAP1	432	567	601	1660	1633	1517
SHARPIN	1565	1686	1358	1692	1632	1882
ZCCHC13	0	0	0	0	0	0
ZCCHC12	1	0	1	1	1	3
ZCCHC11	2775	2659	2817	2937	3112	3382
ZCCHC10	778	803	782	747	778	944
ZCCHC17	739	908	757	825	816	1032
ZCCHC16	0	0	0	1	0	0
ZCCHC14	1732	1433	1564	1953	2015	2032
ZCCHC18	0	0	0	1	0	0
FBXO18	1688	1518	1493	1818	1913	2082
CDRT4	17	14	2	16	12	16
CDRT7	0	0	0	0	0	0
CDRT1	225	139	212	229	240	254
ANKS4B	0	0	0	0	0	0
UBE2J2	2795	3116	2817	3040	2996	3586
GUCY1A3	0	1	1	0	2	0
LOC100288570	0	0	0	0	0	0
SLC45A1	109	150	115	133	190	163
PTGR1	3323	2989	2922	3123	2808	3942
SLC45A3	124	117	118	144	155	125
SLC45A2	0	0	0	0	1	6
MTUS1	4751	3740	4288	4960	5412	5017
MTUS2	151	61	89	131	95	148
IFRD1	11501	10533	11507	12005	10823	14188
IFRD2	5021	5357	4542	5613	5414	6063
ALS2CL	442	404	387	513	610	511
PIK3IP1-AS1	0	0	0	1	1	0
VPS9D1-AS1	295	328	278	320	331	320
RNF225	9	7	10	6	5	15
POLH	646	677	614	700	833	706
INTS4P1	20	15	17	17	29	52
ADARB2	1	0	0	0	0	1
C1QL2	0	0	0	0	0	0
IMPAD1	3458	3688	3130	4040	4641	4181
FZD10	0	0	0	0	0	0
FGL2	1	0	0	0	0	1
CHKA	3098	2731	2945	3298	2933	3870
CHKB	14	5	8	19	17	16
BMS1	4395	4358	4475	4833	4755	5130
MRI1	511	560	453	549	671	581
MAPK1IP1L	3494	3559	3565	3934	4244	4127
DST	7062	4864	6492	7891	7477	7597
DSP	16642	13944	15551	17979	19114	18568
MIRLET7F2	0	0	0	1	1	0
THBD	39	19	5	53	18	23
DSE	1899	1892	1886	2041	1779	2670
PDAP1	5205	4963	4271	5470	5212	5995
CENPBD1	539	538	433	577	586	495
SNORD43	0	0	0	0	0	0
LOC728485	0	0	0	0	0	0
SNORD41	0	0	0	0	1	0
BCLAF1	9316	8384	8966	10317	10745	11535
SLC22A23	427	332	310	386	559	349
SLC22A20	1	4	0	14	2	16
SLC22A25	0	0	2	0	0	0
SLC22A24	0	0	0	0	0	0
TBX2-AS1	6	5	6	5	11	32
RAB11B-AS1	94	108	140	133	137	133
ZNF83	256	234	211	382	412	285
AUH	498	579	549	615	614	672
ZNF81	431	251	406	473	442	462
ZNF80	0	0	0	0	0	0
HLA-L	0	0	0	0	0	0
LOC105377623	3	1	2	11	2	1
ZNF84	1369	1293	1216	1564	1689	1467
HOPX	0	0	0	0	0	0
CAPZA3	0	0	0	0	0	0
CAPZA2	3797	3957	3844	4152	4346	4748
CAPZA1	5622	5874	5882	6002	6270	6875
SCARF2	22	12	12	19	38	18
SCARF1	24	16	8	41	23	46
LOC105375624	1	0	5	0	6	1
TRPC4AP	3348	4000	3399	4061	4702	4576
MIR4740	0	0	0	0	0	0
KRTAP1-1	0	0	0	0	0	0
C10orf88	485	530	487	510	489	555
CER1	0	0	0	0	0	0
C10orf82	0	11	2	1	1	8
DOCK2	71	63	60	57	82	32
MIR6859-2	0	0	0	0	0	0
MIR6859-3	5	3	0	1	2	1
CCDC73	0	1	1	0	4	0
GRPEL2-AS1	3	1	0	0	1	1
MIR4746	0	0	0	0	0	0
HLA-A	1047	1093	785	1109	1678	1972
GRIN3A	10	2	8	13	9	17
MIR4748	0	0	0	0	0	0
GRIN3B	8	11	0	2	2	7
MSL2	2339	2056	2263	2750	2755	2735
DOCK3	170	127	112	165	168	146
NCF4-AS1	0	0	0	0	0	0
CPVL	1058	1287	1034	1181	1081	1333
HLA-G	0	0	0	0	1	0
MIR6828	0	0	0	0	0	0
MIR6823	0	0	0	0	0	0
MIR6822	63	94	94	89	97	85
MIR6821	0	0	0	0	0	0
MIR6827	0	0	0	1	0	1
CERK	1497	1529	1310	1438	1729	1807
MIR6825	0	0	0	0	0	0
MIR6824	2669	2562	2586	2893	3299	3269
RGCC	16	13	31	16	23	24
LIN7A	0	0	2	8	1	0
LIN7C	1075	1187	1119	1173	1172	1317
LIN7B	21	22	26	36	35	26
IMMP2L	88	71	61	75	111	115
SEMA6A-AS1	13	8	3	13	13	10
FADD	324	379	349	460	398	410
NFATC1	89	71	43	91	63	72
NFATC2	179	135	123	200	264	152
RPL37A	28469	32852	28899	30969	29186	39641
TNFAIP8L3	24	21	34	19	27	16
TNFAIP8L2	0	0	1	4	0	0
TNFAIP8L1	113	128	76	155	168	101
TAS2R20	0	0	0	0	0	0
AP2B1	7254	6583	7254	7723	8396	8696
GFER	630	593	561	653	619	806
CYP26B1	524	438	498	576	571	510
PPP1R14D	5	7	6	3	5	0
PPP1R14B	6586	7920	6402	7307	7303	9061
PPP1R14C	1	0	0	1	0	0
PPP1R14A	0	0	0	0	0	0
SSC5D	1	5	1	6	5	2
SRRT	3910	3186	3738	3711	3581	4829
PCDH12	33	47	30	67	69	53
PCDH10	0	0	0	0	0	0
PCDH17	0	0	5	0	0	0
ALKBH8	595	648	591	653	697	829
PCDH15	0	0	4	0	0	0
VPS53	1605	1633	1494	1710	1981	2022
ALKBH7	1691	2119	1599	1964	2036	2279
VPS51	2912	3270	2893	3161	3238	3956
PCDH19	1	0	0	0	4	0
ALKBH2	988	1129	898	1043	1072	1375
ALKBH3	1078	1302	1197	1192	1275	1386
ALKBH1	738	794	716	842	785	1031
MIR29C	35	28	32	66	84	40
PLBD1-AS1	0	0	0	0	0	0
PVR	2768	2640	2535	3424	3560	3463
MIR381HG	0	0	0	0	0	0
LOC102724652	0	0	0	0	0	0
KISS1	0	0	1	0	0	0
THAP1	734	754	726	813	778	851
LOC102724659	0	0	0	0	0	1
THAP3	585	563	486	665	627	745
LIME1	71	133	65	98	86	174
BISPR	63	75	65	86	71	100
MIR2113	0	0	0	0	0	0
MIR2110	713	696	722	776	816	847
MIR297	0	0	0	0	0	0
MIR2116	0	0	9	0	3	4
MIR2115	0	0	0	0	0	0
MIR2114	0	0	0	0	0	0
MIR299	0	0	0	0	0	0
MIR298	0	0	0	0	0	0
FAM219B	532	558	483	558	638	637
FAM219A	404	364	293	497	512	426
PMCHL2	0	0	0	0	0	0
PMCHL1	0	0	0	0	0	0
MIR6128	0	0	0	0	0	0
DHH	1	0	1	3	2	5
MIR6126	0	0	0	0	0	0
MIR5681A	0	0	0	0	0	0
MIR6124	0	0	0	0	0	0
MIR6125	3345	3396	3472	3702	3557	4410
CDK20	59	74	45	57	55	79
ALPPL2	0	4	16	3	5	6
MIR181A2HG	28	39	40	43	39	59
NRIP1	1904	1697	1624	2299	2374	1797
NRIP2	43	58	40	74	95	40
NRIP3	1	0	0	0	0	0
VTI1A	881	901	922	993	1148	1127
VTI1B	728	874	699	977	992	936
CDKN2AIP	844	849	756	873	984	966
CHSY3	1	0	0	0	1	0
CHSY1	1629	1730	1638	1922	2334	2099
OCIAD2	738	960	874	768	861	1077
OCIAD1	3518	3454	3481	3566	3732	4356
AHCTF1	7371	6134	7536	8322	8156	8517
MIR516B2	0	0	0	0	0	0
MIR516B1	0	0	0	0	0	0
ALKBH3-AS1	24	18	8	15	6	14
TRMU	1555	1408	1450	1624	1654	1643
DOCK4-AS1	0	0	0	0	1	0
SH3GLB1	3238	3491	3102	3458	3901	4068
SH3GLB2	2505	2999	2538	2845	3034	3281
CHERP	1028	932	960	1337	1356	1260
TRMO	871	950	895	1021	1080	1061
TCL6	1	0	1	0	1	4
LOC101929073	0	0	0	0	0	0
LOC101929076	8	0	0	0	0	0
LOC100507053	8	5	2	6	7	2
MIR7854	0	0	0	0	0	0
LOC284788	0	0	0	0	0	1
SLCO4A1-AS1	5	5	3	9	10	2
RCBTB2	189	213	170	246	208	200
HELT	0	0	0	0	0	0
HELQ	549	577	598	611	581	753
CHI3L1	0	0	0	0	0	0
CLSPN	1427	1218	1379	1674	1732	1532
HELZ	2216	1837	2247	2766	3116	2525
MYADM	2540	3489	2833	3213	3936	3431
RBAK	1325	1141	1286	1611	1495	1597
SMG1P6	28	17	35	27	28	11
SMG1P7	512	395	444	592	484	524
SMG1P5	49	59	39	88	76	80
SMG1P3	233	151	269	341	287	279
SMG1P1	61	51	61	69	128	61
TEKT1	0	0	0	0	1	0
TEKT3	5	1	10	2	1	1
TEKT2	0	0	0	1	0	4
TEKT5	0	1	6	0	0	0
TEKT4	0	0	0	0	0	0
LOC102723971	0	0	0	0	0	0
LOC646938	0	0	0	0	0	0
LOC107985579	0	0	0	0	0	0
CLUH	5150	4741	4563	5965	6218	5694
HMCES	1832	1870	1793	1997	1863	2222
FOS	6279	4753	6030	5670	4338	7921
MINOS1-NBL1	0	0	1	0	0	0
KIAA0754	7522	6047	7326	8608	9490	8869
KIAA0753	1092	1106	1036	1240	1466	1344
SAFB2	2875	2543	2799	3002	2741	3278
LENG8-AS1	1	0	0	1	2	0
SEC14L3	2	0	0	1	4	1
SEC14L2	131	110	98	152	161	185
SEC14L1	5889	5240	5831	6576	6118	7898
SEC14L6	0	0	0	0	0	0
SEC14L5	13	7	0	1	0	0
SEC14L4	12	12	5	8	9	2
LYRM4-AS1	18	18	27	19	51	45
UPF1	3438	3220	3028	4101	3682	3933
UPF2	2977	2944	2923	3271	3459	3640
SNED1	488	404	429	592	706	523
IL1A	1	2	2	10	9	15
IL1B	0	1	0	1	0	0
LOC100507437	55	76	61	82	94	80
KRT6B	0	0	0	0	0	0
KRT6C	0	0	0	0	0	0
KRT6A	2	1	1	4	0	0
COMP	7	0	1	4	1	4
ZNF154	0	0	0	0	0	0
C2orf50	4	0	10	0	0	1
DSCR8	0	0	0	0	0	0
IL18	7121	6909	6786	7037	6195	9020
IL19	0	0	0	2	0	1
IL10	0	0	0	0	0	0
IL11	388	295	352	358	237	343
IL13	4	11	9	6	3	8
IL15	606	581	584	710	689	769
IL16	23	5	11	10	19	15
EFHD2	5628	6801	5091	6098	7317	6712
EFHD1	1190	926	929	1126	1019	1220
PINX1	621	613	576	605	608	640
DSCR3	2417	2171	2264	2601	2794	3085
AEBP2	2690	2892	2881	3098	3532	3300
LTA4H	4196	4852	4139	4678	4763	5335
HMGN3-AS1	42	43	31	41	54	54
ABHD12B	6	12	17	6	3	4
LOC105369187	0	1	1	0	1	2
ZDHHC20	1199	1377	1136	1479	1535	1566
ZDHHC21	0	0	0	0	0	0
ZDHHC22	0	0	0	0	0	0
ZDHHC23	46	46	22	79	64	46
ZDHHC24	672	864	665	661	837	813
BPY2B	0	0	0	0	0	0
BPY2C	0	0	0	0	0	0
MED15P9	0	0	2	4	1	0
ISL1	81	85	94	68	59	85
ISL2	393	439	408	437	479	521
THAP9-AS1	1498	1647	1705	1689	1822	1877
MROH9	0	0	0	0	0	0
MROH8	8	16	25	1	2	15
KIFAP3	642	831	852	898	914	907
MROH5	0	0	0	0	0	0
MS4A7	0	0	0	0	0	0
MROH7	0	0	0	0	0	0
MS4A5	0	0	0	0	0	0
MS4A2	0	0	0	0	0	0
MS4A3	0	0	0	0	0	0
MS4A1	0	0	0	0	0	0
ZNF141	0	0	0	0	0	0
ZNF140	657	587	517	657	630	694
ZNF143	1826	1634	1769	1731	1620	2190
ZNF142	1388	1216	1318	1700	1763	1759
DNTT	0	0	0	0	0	0
ZNF146	4496	4550	4460	4633	4806	5428
ZNF148	2431	2136	2371	2700	2840	2916
DSC2	0	0	0	0	0	0
DDX31	1237	1369	1334	1487	1377	1623
DSC1	0	0	2	0	0	0
LOC107985899	13	2	0	7	5	4
MAGOH	1376	1471	1400	1492	1320	1759
DDX3X	33639	30090	33766	36768	34199	42079
C20orf27	1333	1501	1270	1382	1262	1851
C20orf24	1253	1358	1262	1276	1199	1561
SOD1	5328	5581	5075	5400	5235	6700
VWA7	8	39	30	30	26	15
VWA2	0	4	0	0	1	0
RANGAP1	7214	7222	7072	8215	8369	8653
VWA1	0	4	0	0	0	0
KCNN4	429	447	377	434	545	588
KCNN3	1	0	2	6	0	0
KCNN2	0	2	0	1	0	0
KCNN1	7	5	2	11	11	8
DSG2-AS1	2	1	5	11	6	2
ISLR	30	27	27	32	57	21
PKIG	212	250	219	263	248	337
PKIA	0	0	0	0	0	0
PKIB	10	13	4	9	16	21
UBAC2-AS1	20	37	24	25	29	24
SYNPR-AS1	0	0	0	0	0	0
NIT2	1214	1374	1230	1265	1454	1450
NIT1	1005	1087	951	1105	1004	1332
MIR4779	0	0	0	0	0	0
MIR4778	0	0	0	0	0	0
HCFC1R1	980	1153	1007	1080	1176	1215
MIR4775	738	760	829	956	882	973
TYSND1	1294	1418	1150	1459	1709	1718
MIR4777	0	0	0	1	0	0
INO80	3521	2686	3028	3868	3968	3848
MIR4772	0	0	0	0	0	0
YPEL5	2492	2605	2941	2786	2637	3504
CEND1	5	1	1	4	8	1
KCNJ16	18	15	12	5	8	6
LOC101928069	18	21	15	17	24	26
KANSL1L	376	342	269	422	415	326
LOC101928063	4	1	6	0	0	5
CYHR1	864	1045	876	1048	1169	1063
HLA-F-AS1	0	0	0	0	0	0
CR1L	0	0	1	0	0	0
NUP153	8869	7474	8731	9571	8903	10929
OR2F1	0	0	0	0	0	0
NUP155	6725	6645	6633	7677	7750	8021
SORCS1	6	3	3	6	2	6
SORCS2	6	9	11	11	31	12
SORCS3	0	0	0	0	0	0
CARS2	1496	1277	1326	1605	1589	1955
GPKOW	1230	1402	1115	1337	1238	1660
MIR3200	0	0	0	0	0	0
MIR3201	0	0	0	0	0	0
NANOG	0	0	0	0	0	0
RRH	0	3	1	0	5	4
MAPK3	975	939	930	1122	1023	1146
MAPK1	3802	3823	3683	4245	4292	4320
MAPK6	7084	6806	6675	7665	8049	8028
MAPK7	829	786	655	846	1149	928
MAPK4	2516	2067	2120	2667	3276	2728
LOC101929333	0	1	3	9	0	2
MAPK8	1614	1406	1491	1538	1747	2083
MAPK9	2616	2599	2486	2624	2762	2988
CUZD1	0	0	0	2	0	1
LYL1	1	0	0	0	0	0
BCOR	2415	2065	1951	2687	3531	2222
VWA3B	0	0	0	0	0	0
THNSL2	0	0	0	0	0	0
THNSL1	108	129	128	167	214	199
VWA3A	1	0	1	0	2	3
CCL11	0	0	0	0	0	0
CCL13	0	0	0	0	0	0
CCL14	0	0	0	0	0	0
CCL15	0	0	0	0	0	0
GPBP1L1	3666	3769	3991	4452	4238	4634
CCL17	0	1	0	0	0	1
CCL18	0	0	0	0	0	0
MIR320E	0	0	0	0	0	0
MIR320A	1	0	1	1	0	4
STAT5B	3090	3055	3099	3493	3416	3972
LINC01981	0	0	0	0	0	0
LINC01987	0	0	0	0	0	0
LINC01989	0	0	0	0	0	0
LINC01988	0	0	0	1	1	5
SPATA17-AS1	0	0	0	3	0	0
FAM212B-AS1	0	1	1	0	1	1
PFN1P2	2	7	0	1	0	3
PLEKHN1	63	57	43	60	67	66
SERPINA1	0	0	0	1	0	0
SERPINA2	0	0	0	0	0	0
SERPINA3	0	1	6	1	1	0
SERPINA4	0	0	0	0	0	0
SERPINA5	3	1	0	1	0	5
SERPINA6	0	0	0	0	0	0
SERPINA7	0	0	0	0	0	0
SERPINA9	0	0	0	0	0	0
ZC3HC1	829	918	817	909	872	989
SNORA3B	10	6	5	12	6	5
FOXRED1	1350	1423	1348	1593	1496	1887
CREB3L1	61	48	76	41	45	57
SNORA33	22	44	38	40	39	27
SNORA32	0	0	0	0	0	0
SNORA31	0	1	0	0	0	2
SNORA30	0	2	0	0	2	0
SNORA37	0	0	0	0	0	0
SNORA35	0	0	0	0	0	0
SNORA38	0	0	0	0	0	0
PPIAL4A	0	0	0	1	0	0
TCERG1L-AS1	0	0	0	0	0	0
KCNMA1-AS2	0	0	0	0	0	0
KCNMA1-AS1	0	0	1	1	1	0
GAGE10	0	0	0	0	0	0
GAGE13	1	0	0	0	0	0
PLEKHM3	443	345	385	530	741	491
LOC728145	5	7	10	16	19	9
SYNPO	1845	1670	1731	2144	1992	2167
CTC1	681	755	799	804	838	929
ANP32D	0	0	0	0	0	0
ANP32E	4533	4594	4588	4662	4626	5177
ANP32B	13112	14508	12491	14162	13789	16130
ANP32A	5242	5888	5597	5765	5690	6673
SYNPR	0	0	0	0	0	0
SPATA46	5	0	5	8	3	5
HPSE2	0	0	0	0	1	0
SPATA41	1	0	4	2	0	0
SPATA42	0	1	0	0	0	0
TAT	0	0	1	1	0	0
FAM72C	81	52	52	121	96	116
PRR23A	0	0	0	0	0	0
ALMS1	902	703	810	998	1111	931
TAZ	1227	1351	1171	1238	1421	1514
PRR23B	0	0	0	0	0	0
ATRNL1	0	0	1	0	0	0
PRIM1	1121	1208	1010	1140	1294	1291
MIR30C2	0	0	0	0	0	0
MIR30C1	1	0	1	0	2	2
PRIM2	1235	1382	1201	1322	1440	1495
LOC102724927	100	114	78	130	139	104
ALOXE3	50	29	59	51	52	29
MUC17	0	0	0	0	0	0
MUC16	113	45	136	181	135	115
MUC15	0	0	0	0	0	0
MUC13	43	12	29	18	5	10
MUC12	6	0	1	0	1	6
PPP1R9B	1537	1539	1292	1780	2043	1936
OR52K1	0	0	0	0	0	0
SYNE3	289	224	256	344	381	337
MBTD1	2062	1341	2019	1963	1662	2352
SYAP1	2948	3198	3084	3308	3264	3951
GPR119	6	0	0	0	0	0
CTCF	3301	3148	3071	3688	3817	3642
OR2L3	0	0	0	0	0	0
RASGRP2	0	0	1	4	1	4
RASGRP3	35	6	13	16	16	12
MIR548F5	0	0	0	0	0	0
MIR548F4	0	0	0	0	0	0
MIR548F3	0	0	0	0	0	0
